[20210921033041] PID : [   266] STATE: [0] EVENT : [PRECHECK]
[20210921035929] PID : [   396] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035929] PID : [   397] STATE: [0] EVENT : [PRECHECK]
[20210921035932] PID : [   397] STATE: [1] EVENT : [INPROCESS]
[20210921035932] PID : [   397] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035932] PID : [   398] STATE: [0] EVENT : [PRECHECK]
[20210921035935] PID : [   398] STATE: [1] EVENT : [INPROCESS]
[20210921035935] PID : [   398] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035935] PID : [   399] STATE: [0] EVENT : [PRECHECK]
[20210921035938] PID : [   399] STATE: [1] EVENT : [INPROCESS]
[20210921035938] PID : [   399] STATE: [2] EVENT : [TRASH]
[20210921035938] PID : [   400] STATE: [0] EVENT : [PRECHECK]
[20210921035941] PID : [   400] STATE: [1] EVENT : [INPROCESS]
[20210921035941] PID : [   400] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035941] PID : [   401] STATE: [0] EVENT : [PRECHECK]
[20210921035944] PID : [   401] STATE: [1] EVENT : [INPROCESS]
[20210921035944] PID : [   401] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035944] PID : [   402] STATE: [0] EVENT : [PRECHECK]
[20210921035947] PID : [   402] STATE: [1] EVENT : [INPROCESS]
[20210921035947] PID : [   402] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035947] PID : [   403] STATE: [0] EVENT : [PRECHECK]
[20210921035950] PID : [   403] STATE: [1] EVENT : [INPROCESS]
[20210921035950] PID : [   403] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035950] PID : [   404] STATE: [0] EVENT : [PRECHECK]
[20210921035953] PID : [   404] STATE: [1] EVENT : [INPROCESS]
[20210921035953] PID : [   404] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035953] PID : [   405] STATE: [0] EVENT : [PRECHECK]
[20210921035956] PID : [   405] STATE: [1] EVENT : [INPROCESS]
[20210921035956] PID : [   405] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035956] PID : [   406] STATE: [0] EVENT : [PRECHECK]
[20210921035959] PID : [   406] STATE: [1] EVENT : [INPROCESS]
[20210921035959] PID : [   406] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035959] PID : [   407] STATE: [0] EVENT : [PRECHECK]
[20210921040002] PID : [   407] STATE: [1] EVENT : [INPROCESS]
[20210921040002] PID : [   407] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040002] PID : [   408] STATE: [0] EVENT : [PRECHECK]
[20210921040005] PID : [   408] STATE: [1] EVENT : [INPROCESS]
[20210921040005] PID : [   408] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040005] PID : [   409] STATE: [0] EVENT : [PRECHECK]
[20210921040008] PID : [   409] STATE: [1] EVENT : [INPROCESS]
[20210921040008] PID : [   409] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040008] PID : [   410] STATE: [0] EVENT : [PRECHECK]
[20210921040011] PID : [   410] STATE: [1] EVENT : [INPROCESS]
[20210921040011] PID : [   410] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040011] PID : [   411] STATE: [0] EVENT : [PRECHECK]
[20210921040014] PID : [   411] STATE: [1] EVENT : [INPROCESS]
[20210921040014] PID : [   411] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040014] PID : [   412] STATE: [0] EVENT : [PRECHECK]
[20210921040017] PID : [   412] STATE: [1] EVENT : [INPROCESS]
[20210921040017] PID : [   412] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040017] PID : [   413] STATE: [0] EVENT : [PRECHECK]
[20210921040020] PID : [   413] STATE: [1] EVENT : [INPROCESS]
[20210921040020] PID : [   413] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040020] PID : [   414] STATE: [0] EVENT : [PRECHECK]
[20210921040023] PID : [   414] STATE: [1] EVENT : [INPROCESS]
[20210921040023] PID : [   414] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040023] PID : [   415] STATE: [0] EVENT : [PRECHECK]
[20210921040026] PID : [   415] STATE: [1] EVENT : [INPROCESS]
[20210921040026] PID : [   415] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040026] PID : [   416] STATE: [0] EVENT : [PRECHECK]
[20210921040029] PID : [   416] STATE: [1] EVENT : [INPROCESS]
[20210921040029] PID : [   416] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040029] PID : [   417] STATE: [0] EVENT : [PRECHECK]
[20210921040032] PID : [   417] STATE: [1] EVENT : [INPROCESS]
[20210921040032] PID : [   417] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040032] PID : [   418] STATE: [0] EVENT : [PRECHECK]
[20210921040035] PID : [   418] STATE: [1] EVENT : [INPROCESS]
[20210921040035] PID : [   418] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040035] PID : [   419] STATE: [0] EVENT : [PRECHECK]
[20210921040038] PID : [   419] STATE: [1] EVENT : [INPROCESS]
[20210921040038] PID : [   419] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040038] PID : [   420] STATE: [0] EVENT : [PRECHECK]
[20210921040041] PID : [   420] STATE: [1] EVENT : [INPROCESS]
[20210921040041] PID : [   420] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040041] PID : [   421] STATE: [0] EVENT : [PRECHECK]
[20210921040044] PID : [   421] STATE: [1] EVENT : [INPROCESS]
[20210921040044] PID : [   421] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040044] PID : [   422] STATE: [0] EVENT : [PRECHECK]
[20210921040047] PID : [   422] STATE: [1] EVENT : [INPROCESS]
[20210921040047] PID : [   422] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921040047] PID : [   423] STATE: [0] EVENT : [PRECHECK]
